ERROR METRICS,Train,Test
NS/R2,0.9564170644335213,0.9650960843493153
Corr-coeff,0.9784706722734897,0.9840876543895357
RMSE,41.06762914204855,38.04806307603634
MSE,1686.5501633488357,1447.6551038380403
